,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
0,,"
North America
","2,044,346","+3,513","123,858",+386,"670,598","1,249,890","19,427",,,,,,North America
1,,"
South America
","847,008","+2,389","39,340",+25,"345,961","461,707","11,281",,,,,,South America
2,,"
Europe
","2,004,226",,"173,280",,"978,245","852,701","8,796",,,,,,Europe
3,,"
Asia
","1,108,043",+522,"30,208",+1,"672,401","405,434","13,624",,,,,,Asia
4,,"
Africa
","143,769",,"4,092",,"60,987","78,690",370,,,,,,Africa
5,,"
Oceania
","8,801",+7,125,,"8,196",480,4,,,,,,Australia/Oceania
6,,"

",721,,15,,651,55,4,,,,,,
51,44,Afghanistan,"14,525",,249 ,,"1,303","12,973",19,374,6,"37,348",961,"38,846,163 ",Asia
52,45,Panama,"13,018",,330 ,,"9,414","3,274",78,"3,021",77,"66,192","15,363","4,308,653 ",North America
53,46,Denmark,"11,633",,571 ,,"10,327",735,20,"2,009",99,"618,860","106,875","5,790,499 ",Europe
54,47,S. Korea,"11,468",+27,270 ,+1,"10,405",793,15,224,5,"910,822","17,767","51,265,561 ",Asia
55,48,Serbia,"11,381",,242 ,,"6,606","4,533",10,"1,302",28,"242,782","27,778","8,740,173 ",Europe
56,49,Kazakhstan,"10,858",+476,38 ,,"5,220","5,600",62,579,2,"812,881","43,338","18,756,949 ",Asia
57,50,Bahrain,"10,793",,17 ,,"5,826","4,950",13,"6,365",10,"309,573","182,572","1,695,617 ",Asia
58,51,Oman,"10,423",,42 ,,"2,396","7,985",31,"2,046",8,"72,000","14,134","5,094,240 ",Asia
59,52,Nigeria,"9,855",,273 ,,"2,856","6,726",7,48,1,"60,825",296,"205,654,182 ",Africa
60,53,Bolivia,"9,592",+861,310 ,+10,889,"8,393",3,823,27,"28,239","2,422","11,658,870 ",South America
61,54,Algeria,"9,267",,646 ,,"5,549","3,072",34,212,15,,,"43,778,769 ",Africa
62,55,Czechia,"9,230",,319 ,,"6,546","2,365",19,862,30,"436,372","40,754","10,707,339 ",Europe
63,56,Armenia,"8,927",,127 ,,"3,317","5,483",10,"3,013",43,"57,081","19,266","2,962,785 ",Asia
64,57,Norway,"8,437",,236 ,,"7,727",474,8,"1,557",44,"245,352","45,288","5,417,605 ",Europe
65,58,Moldova,"8,098",,291 ,,"4,455","3,352",256,"2,007",72,"40,565","10,054","4,034,718 ",Europe
66,59,Morocco,"7,780",,204 ,,"5,401","2,175",18,211,6,"199,998","5,424","36,872,098 ",Africa
67,60,Ghana,"7,768",,35 ,,"2,540","5,193",17,250,1,"211,622","6,824","31,012,732 ",Africa
68,61,Malaysia,"7,762",,115 ,,"6,330","1,317",9,240,4,"546,368","16,900","32,329,329 ",Asia
69,62,Australia,"7,192",+7,103 ,,"6,614",475,4,282,4,"1,450,780","56,952","25,473,913 ",Australia/Oceania
70,63,Finland,"6,826",,316 ,,"5,500","1,010",11,"1,232",57,"182,700","32,978","5,540,010 ",Europe
